Month Landed,Port of Landing,Port NUTS 2 area,Port Nationality,Vessel Nationality,Length Group,Species,Species Group,Live weight (tonnes),Landed weight (tonnes),Value(£000s)
1,Amble,Northumberland and Tyne and Wear,England,UK,Over10m,Ling,Demersal,0.0022,0.002,2.48
1,Amble,Northumberland and Tyne and Wear,England,UK,Over10m,Lobsters,Shellfish,0.2228,0.2228,4609.82
1,Amble,Northumberland and Tyne and Wear,England,UK,Over10m,Monks or Anglers,Demersal,0.2406,0.1965,454.8
1,Amble,Northumberland and Tyne and Wear,England,UK,Over10m,Mullet,Demersal,0.0051,0.0051,7.52
1,Amble,Northumberland and Tyne and Wear,England,UK,Over10m,Nephrops,Shellfish,8.0581,6.5643,37354.24
1,Amble,Northumberland and Tyne and Wear,England,UK,Over10m,Other Demersal,Demersal,0.2217,0.2217,42.95
1,Amble,Northumberland and Tyne and Wear,England,UK,Over10m,Plaice,Demersal,0.0021,0.002,1.72
1,Amble,Northumberland and Tyne and Wear,England,UK,Over10m,Squid,Shellfish,0.1052,0.1052,228.98
1,Amble,Northumberland and Tyne and Wear,England,UK,Over10m,Turbot,Demersal,0.0403,0.0373,243.72
1,Amble,Northumberland and Tyne and Wear,England,UK,Over10m,Whiting,Demersal,0.3149,0.305,274
1,Amlwch,West Wales and the Valleys,Wales,UK,10m&Under,Crabs,Shellfish,0.0357,0.0357,78.54
1,Amlwch,West Wales and the Valleys,Wales,UK,10m&Under,Lobsters,Shellfish,0.1195,0.1195,2479.5
1,Amlwch,West Wales and the Valleys,Wales,UK,10m&Under,Other Shellfish,Shellfish,0.0625,0.0625,1189
1,Amlwch,West Wales and the Valleys,Wales,UK,10m&Under,Whelks,Shellfish,5.1822,5.1822,7255.08
1,Amlwch,West Wales and the Valleys,Wales,UK,Over10m,Scallops,Shellfish,3.8603,0.7352,13039.24
1,Amlwch,West Wales and the Valleys,Wales,UK,Over10m,Whelks,Shellfish,9.438,9.438,12777.2
1,Annalong,Northern Ireland,Northern Ireland,UK,10m&Under,Crabs,Shellfish,3.8826,3.8826,3932.8
1,Annalong,Northern Ireland,Northern Ireland,UK,10m&Under,Lobsters,Shellfish,0.1644,0.1644,2221.8
1,Annalong,Northern Ireland,Northern Ireland,UK,10m&Under,Shrimps and Prawns,Shellfish,0.371,0.371,4696.6
1,Annalong,Northern Ireland,Northern Ireland,UK,10m&Under,Whelks,Shellfish,0.0961,0.0961,88.1
1,Anstruther,Eastern Scotland,Scotland,UK,10m&Under,Crabs,Shellfish,0.968,0.968,2197.36
1,Anstruther,Eastern Scotland,Scotland,UK,10m&Under,Lobsters,Shellfish,0.0364,0.0364,700.72
1,Applecross,Highlands and Islands,Scotland,UK,10m&Under,Crabs,Shellfish,0.695,0.695,1577.65
1,Applecross,Highlands and Islands,Scotland,UK,10m&Under,Nephrops,Shellfish,0.0176,0.0176,105.78
1,Arbroath,Eastern Scotland,Scotland,UK,10m&Under,Crabs,Shellfish,17.188,17.188,38194.82
1,Arbroath,Eastern Scotland,Scotland,UK,10m&Under,Lobsters,Shellfish,3.5702,3.5702,70303.26
1,Arbroath,Eastern Scotland,Scotland,UK,10m&Under,Nephrops,Shellfish,1.402,1.1,6532.04
1,Arbroath,Eastern Scotland,Scotland,UK,Over10m,Scallops,Shellfish,0.12,0.12,456
1,Ardentinny,Highlands and Islands,Scotland,UK,10m&Under,Nephrops,Shellfish,0.0285,0.0285,171.29
1,Ardentinny,Highlands and Islands,Scotland,UK,10m&Under,Shrimps and Prawns,Shellfish,0.0056,0.0056,115.69
1,Ardglass,Northern Ireland,Northern Ireland,Ireland,Over10m,Horse Mackerel,Pelagic,211.64,211.64,0
1,Ardglass,Northern Ireland,Northern Ireland,Ireland,Over10m,Mackerel,Pelagic,86.58,86.58,77056.2
1,Ardglass,Northern Ireland,Northern Ireland,UK,10m&Under,Crabs,Shellfish,3.116,3.116,4006.4
1,Ardglass,Northern Ireland,Northern Ireland,UK,10m&Under,Lobsters,Shellfish,0.5073,0.5073,5630.85
1,Ardglass,Northern Ireland,Northern Ireland,UK,10m&Under,Shrimps and Prawns,Shellfish,0.05,0.05,950
1,Ardglass,Northern Ireland,Northern Ireland,UK,Over10m,Brill,Demersal,0.0711,0.0655,234.82
1,Ardglass,Northern Ireland,Northern Ireland,UK,Over10m,Cod,Demersal,0.1562,0.1339,348.24
1,Ardglass,Northern Ireland,Northern Ireland,UK,Over10m,Dogfish,Demersal,23.4846,22.7076,4209.48
1,Ardglass,Northern Ireland,Northern Ireland,UK,Over10m,Gurnard,Demersal,0.0488,0.047,46.79
1,Ardglass,Northern Ireland,Northern Ireland,UK,Over10m,Haddock,Demersal,2.1584,2.1083,2043.46
1,Ardglass,Northern Ireland,Northern Ireland,UK,Over10m,Hake,Demersal,0.0751,0.0679,104.93
1,Ardglass,Northern Ireland,Northern Ireland,UK,Over10m,Lemon Sole,Demersal,0.0105,0.01,6
1,Ardglass,Northern Ireland,Northern Ireland,UK,Over10m,Ling,Demersal,0.0079,0.007,10.36
1,Ardglass,Northern Ireland,Northern Ireland,UK,Over10m,Monks or Anglers,Demersal,3.0307,2.4847,6189.33
1,Ardglass,Northern Ireland,Northern Ireland,UK,Over10m,Nephrops,Shellfish,41.979,21.6553,103036.8
1,Ardglass,Northern Ireland,Northern Ireland,UK,Over10m,Other Demersal,Demersal,0.0628,0.0558,54.12
1,Ardglass,Northern Ireland,Northern Ireland,UK,Over10m,Saithe,Demersal,0.0107,0.009,16.38
1,Ardglass,Northern Ireland,Northern Ireland,UK,Over10m,Scallops,Shellfish,19.3769,19.3769,55734.82
1,Ardglass,Northern Ireland,Northern Ireland,UK,Over10m,Skates and Rays,Demersal,1.768,1.565,457.04
1,Ardglass,Northern Ireland,Northern Ireland,UK,Over10m,Sole,Demersal,0.001,0.001,4.1
1,Ardglass,Northern Ireland,Northern Ireland,UK,Over10m,Squid,Shellfish,0.0631,0.0631,273.47
1,Ardglass,Northern Ireland,Northern Ireland,UK,Over10m,Turbot,Demersal,0.0037,0.0034,25.86
1,Ardglass,Northern Ireland,Northern Ireland,UK,Over10m,Witch,Demersal,0.2039,0.1927,156.75
1,Ardnamurchan,Highlands and Islands,Scotland,UK,10m&Under,Crabs,Shellfish,0.377,0.377,869.32
1,Ardnamurchan,Highlands and Islands,Scotland,UK,10m&Under,Lobsters,Shellfish,0.003,0.003,57.76
1,Ardnamurchan,Highlands and Islands,Scotland,UK,10m&Under,Nephrops,Shellfish,0.0395,0.0395,237.4
1,Ardnamurchan,Highlands and Islands,Scotland,UK,10m&Under,Shrimps and Prawns,Shellfish,0.0013,0.0013,26.86
1,Ardrishaig,Highlands and Islands,Scotland,UK,10m&Under,Lobsters,Shellfish,0.002,0.002,38.5
1,Ardrishaig,Highlands and Islands,Scotland,UK,10m&Under,Nephrops,Shellfish,0.246,0.246,1478.46
1,Ardrishaig,Highlands and Islands,Scotland,UK,10m&Under,Whelks,Shellfish,0.06,0.06,66
1,Ardrossan,South Western Scotland,Scotland,UK,10m&Under,Other Shellfish,Shellfish,3.391,3.391,23433.82
1,Ardrossan,South Western Scotland,Scotland,UK,Over10m,Lobsters,Shellfish,0.02,0.02,65.2
1,Ardrossan,South Western Scotland,Scotland,UK,Over10m,Nephrops,Shellfish,3.4805,1.8954,8657.41
1,Ardrossan,South Western Scotland,Scotland,UK,Over10m,Other Shellfish,Shellfish,6.194,6.194,41555.3
1,Arisaig,Highlands and Islands,Scotland,UK,10m&Under,Crabs,Shellfish,0.35,0.35,1119.98
1,Arisaig,Highlands and Islands,Scotland,UK,10m&Under,Lobsters,Shellfish,0.0065,0.0065,125.13
1,Arran,Highlands and Islands,Scotland,UK,10m&Under,Nephrops,Shellfish,0.005,0.005,30.05
1,Avoch,Highlands and Islands,Scotland,UK,10m&Under,Whelks,Shellfish,5.43,5.43,5973
1,Axmouth,Devon,England,UK,10m&Under,Lobsters,Shellfish,0.025,0.025,450
1,Axmouth,Devon,England,UK,10m&Under,Scallops,Shellfish,0.19,0.19,1277
1,Back,Highlands and Islands,Scotland,UK,10m&Under,Crabs,Shellfish,15.145,15.145,36628.45
1,Back,Highlands and Islands,Scotland,UK,10m&Under,Lobsters,Shellfish,0.0481,0.0481,948.05
1,Balintore,Highlands and Islands,Scotland,UK,10m&Under,Crabs,Shellfish,0.3628,0.3628,1219.37
1,Balintore,Highlands and Islands,Scotland,UK,10m&Under,Lobsters,Shellfish,0.002,0.002,38.5
1,Ballycastle,Northern Ireland,Northern Ireland,UK,10m&Under,Crabs,Shellfish,0.535,0.535,700
1,Ballycastle,Northern Ireland,Northern Ireland,UK,10m&Under,Lobsters,Shellfish,0.195,0.195,2800
1,Ballycastle,Northern Ireland,Northern Ireland,UK,Over10m,Scallops,Shellfish,1.715,1.715,5007.8
1,Ballydorn,Northern Ireland,Northern Ireland,UK,10m&Under,Lobsters,Shellfish,0.011,0.011,110
1,Ballyglass,Foreign,Ireland,UK,10m&Under,Crabs,Shellfish,9.392,9.392,11000
1,Ballylumford,Northern Ireland,Northern Ireland,UK,10m&Under,Crabs,Shellfish,0.123,0.123,230
1,Ballylumford,Northern Ireland,Northern Ireland,UK,10m&Under,Lobsters,Shellfish,0.144,0.144,2100
1,Ballywalter,Northern Ireland,Northern Ireland,UK,10m&Under,Crabs,Shellfish,3.574,3.574,8057.59
1,Ballywalter,Northern Ireland,Northern Ireland,UK,10m&Under,Lobsters,Shellfish,0.0917,0.0917,1622
1,Ballywalter,Northern Ireland,Northern Ireland,UK,10m&Under,Whelks,Shellfish,0.38,0.38,546
1,Balvicar,Highlands and Islands,Scotland,UK,Over10m,Nephrops,Shellfish,0.532,0.532,3983.31
1,Bangor,West Wales and the Valleys,Wales,UK,10m&Under,Whelks,Shellfish,0.155,0.155,186
1,Bangor,West Wales and the Valleys,Wales,UK,Over10m,Scallops,Shellfish,5.5091,5.5091,15784.58
1,Bangor (Co. Down),Northern Ireland,Northern Ireland,UK,10m&Under,Crabs,Shellfish,0.732,0.732,1580
1,Bangor (Co. Down),Northern Ireland,Northern Ireland,UK,10m&Under,Lobsters,Shellfish,0.022,0.022,340
1,Bangor (Co. Down),Northern Ireland,Northern Ireland,UK,10m&Under,Scallops,Shellfish,6.1917,6.1917,14893.57
1,Bangor (Co. Down),Northern Ireland,Northern Ireland,UK,Over10m,Cod,Demersal,0.7742,0.6616,3277.22
1,Bangor (Co. Down),Northern Ireland,Northern Ireland,UK,Over10m,Gurnard,Demersal,0.3217,0.3217,304.36
1,Bangor (Co. Down),Northern Ireland,Northern Ireland,UK,Over10m,Haddock,Demersal,31.6401,27.1803,53756.11
1,Bangor (Co. Down),Northern Ireland,Northern Ireland,UK,Over10m,Hake,Demersal,3.5438,3.1928,15556.75
1,Bangor (Co. Down),Northern Ireland,Northern Ireland,UK,Over10m,Ling,Demersal,0.3208,0.2815,424.86
1,Bangor (Co. Down),Northern Ireland,Northern Ireland,UK,Over10m,Monks or Anglers,Demersal,0.1755,0.1438,830.89
1,Bangor (Co. Down),Northern Ireland,Northern Ireland,UK,Over10m,Other Demersal,Demersal,1.4326,1.2736,919.55
1,Bangor (Co. Down),Northern Ireland,Northern Ireland,UK,Over10m,Plaice,Demersal,0.002,0.0018,1.15
1,Bangor (Co. Down),Northern Ireland,Northern Ireland,UK,Over10m,Pollack (Lythe),Demersal,0.6558,0.5605,1794.52
1,Bangor (Co. Down),Northern Ireland,Northern Ireland,UK,Over10m,Saithe,Demersal,0.146,0.1228,288.16
1,Bangor (Co. Down),Northern Ireland,Northern Ireland,UK,Over10m,Scallops,Shellfish,32.4619,32.4619,78116.94
1,Bangor (Co. Down),Northern Ireland,Northern Ireland,UK,Over10m,Skates and Rays,Demersal,1.4726,1.3032,2213.74
1,Bangor (Co. Down),Northern Ireland,Northern Ireland,UK,Over10m,Sole,Demersal,0.001,0.0009,4.28
1,Bangor (Co. Down),Northern Ireland,Northern Ireland,UK,Over10m,Whelks,Shellfish,7.052,7.052,10225.4
1,Bangor (Co. Down),Northern Ireland,Northern Ireland,UK,Over10m,Witch,Demersal,0.0094,0.0087,5.75
1,Barrow,Cumbria,England,UK,10m&Under,Bass,Demersal,0.0092,0.0092,92.8
1,Barrow,Cumbria,England,UK,10m&Under,Brill,Demersal,0.0005,0.0005,2.5
1,Barrow,Cumbria,England,UK,10m&Under,Cod,Demersal,0.4442,0.3797,1031.98
1,Barrow,Cumbria,England,UK,10m&Under,Crabs,Shellfish,0.0105,0.0105,15.63
1,Barrow,Cumbria,England,UK,10m&Under,Lobsters,Shellfish,0.1721,0.1721,3065.1
1,Barrow,Cumbria,England,UK,10m&Under,Other Demersal,Demersal,0.0137,0.0134,54.83
1,Barrow,Cumbria,England,UK,10m&Under,Pollack (Lythe),Demersal,0.0837,0.0734,145.43
1,Barrow,Cumbria,England,UK,10m&Under,Sole,Demersal,0.0007,0.0007,4.5
1,Barrow,Cumbria,England,UK,10m&Under,Turbot,Demersal,0.0018,0.0016,11.65
1,Beadnell,Northumberland and Tyne and Wear,England,UK,10m&Under,Crabs,Shellfish,0.087,0.087,116
1,Beadnell,Northumberland and Tyne and Wear,England,UK,10m&Under,Lobsters,Shellfish,0.0332,0.0332,695.8
1,Beer,Devon,England,UK,10m&Under,Bass,Demersal,0.1819,0.1819,1784.41
1,Beer,Devon,England,UK,10m&Under,Crabs,Shellfish,0.005,0.002,35
1,Beer,Devon,England,UK,10m&Under,Gurnard,Demersal,0.0017,0.0017,2.07
1,Beer,Devon,England,UK,10m&Under,Lobsters,Shellfish,0.0071,0.0071,135.27
1,Beer,Devon,England,UK,10m&Under,Mullet,Demersal,0.0343,0.0343,113.31
1,Beer,Devon,England,UK,10m&Under,Pollack (Lythe),Demersal,0.0536,0.0533,113.48
1,Beer,Devon,England,UK,10m&Under,Sole,Demersal,0.0771,0.0736,824.89
1,Beer,Devon,England,UK,10m&Under,Whiting,Demersal,0.0025,0.0023,2.44
1,Beesands,Devon,England,UK,10m&Under,Crabs,Shellfish,0.4429,0.4429,2139.68
1,Beesands,Devon,England,UK,10m&Under,Lobsters,Shellfish,0.0286,0.0286,516.6
1,Belfast,Northern Ireland,Northern Ireland,UK,Over10m,Mackerel,Pelagic,2203.02,2203.02,2055485
1,BEMBRIDGE,Hampshire and Isle of Wight,England,UK,10m&Under,Bass,Demersal,0.1033,0.1033,1021.74
1,BEMBRIDGE,Hampshire and Isle of Wight,England,UK,10m&Under,Brill,Demersal,0.0028,0.0026,15.6
1,BEMBRIDGE,Hampshire and Isle of Wight,England,UK,10m&Under,Cod,Demersal,0.04,0.0343,133
1,BEMBRIDGE,Hampshire and Isle of Wight,England,UK,10m&Under,Crabs,Shellfish,1.38,1.38,3398.4
1,BEMBRIDGE,Hampshire and Isle of Wight,England,UK,10m&Under,Dogfish,Demersal,0.0043,0.0043,17.2
1,BEMBRIDGE,Hampshire and Isle of Wight,England,UK,10m&Under,Lobsters,Shellfish,0.0331,0.0331,631.5
1,BEMBRIDGE,Hampshire and Isle of Wight,England,UK,10m&Under,Other Shellfish,Shellfish,0.0198,0.0198,315.8
1,BEMBRIDGE,Hampshire and Isle of Wight,England,UK,10m&Under,Plaice,Demersal,0.0356,0.034,111.15
1,BEMBRIDGE,Hampshire and Isle of Wight,England,UK,10m&Under,Pollack (Lythe),Demersal,0.0132,0.0115,28.75
1,BEMBRIDGE,Hampshire and Isle of Wight,England,UK,10m&Under,Skates and Rays,Demersal,0.1634,0.0784,224.25
1,BEMBRIDGE,Hampshire and Isle of Wight,England,UK,10m&Under,Sole,Demersal,0.0228,0.0222,219.54
1,BEMBRIDGE,Hampshire and Isle of Wight,England,UK,10m&Under,Turbot,Demersal,0.0041,0.0038,34.8
1,BEMBRIDGE,Hampshire and Isle of Wight,England,UK,10m&Under,Whiting,Demersal,0.0027,0.0023,5.75
1,BEMBRIDGE,Hampshire and Isle of Wight,England,UK,Over10m,Crabs,Shellfish,0.415,0.415,1026.98
1,BEMBRIDGE,Hampshire and Isle of Wight,England,UK,Over10m,Lobsters,Shellfish,0.0467,0.0467,927.77
1,Benbecula,Highlands and Islands,Scotland,UK,10m&Under,Crabs,Shellfish,0.309,0.309,1043.37
1,Benbecula,Highlands and Islands,Scotland,UK,10m&Under,Lobsters,Shellfish,0.0479,0.0479,921.12
1,Bernera (Lewis),Highlands and Islands,Scotland,UK,10m&Under,Crabs,Shellfish,0.423,0.423,1375.8
1,Bernera (Lewis),Highlands and Islands,Scotland,UK,10m&Under,Lobsters,Shellfish,0.0946,0.0946,1918.78
1,Bernera (N Uist),Highlands and Islands,Scotland,UK,10m&Under,Crabs,Shellfish,0.497,0.497,1681.69
1,Bernera (N Uist),Highlands and Islands,Scotland,UK,10m&Under,Lobsters,Shellfish,3.3667,3.3667,64808.98
1,Berwick,Northumberland and Tyne and Wear,England,UK,10m&Under,Crabs,Shellfish,0.149,0.149,223.5
1,Berwick,Northumberland and Tyne and Wear,England,UK,10m&Under,Lobsters,Shellfish,0.0569,0.0569,1174.9
1,Bideford,Devon,England,UK,10m&Under,Bass,Demersal,0.0153,0.0153,122.4
1,Bideford,Devon,England,UK,10m&Under,Cod,Demersal,0.0058,0.005,11.5
1,Bideford,Devon,England,UK,10m&Under,Other Demersal,Demersal,0.0315,0.028,25.6
1,Bideford,Devon,England,UK,10m&Under,Whelks,Shellfish,1.227,1.227,1472.4
1,Bideford,Devon,England,UK,10m&Under,Whiting,Demersal,0.0084,0.0072,5.04
1,Blyth,Northumberland and Tyne and Wear,England,UK,10m&Under,Brill,Demersal,0.0181,0.0178,46.8
1,Blyth,Northumberland and Tyne and Wear,England,UK,10m&Under,Cod,Demersal,1.0351,0.886,856.52
1,Blyth,Northumberland and Tyne and Wear,England,UK,10m&Under,Crabs,Shellfish,0.6187,0.6187,860.85
1,Blyth,Northumberland and Tyne and Wear,England,UK,10m&Under,Gurnard,Demersal,0.0015,0.0015,0.45
1,Blyth,Northumberland and Tyne and Wear,England,UK,10m&Under,Haddock,Demersal,0.2293,0.199,128.11
1,Blyth,Northumberland and Tyne and Wear,England,UK,10m&Under,Hake,Demersal,0.002,0.0017,0.35
1,Blyth,Northumberland and Tyne and Wear,England,UK,10m&Under,Halibut,Demersal,0.0504,0.0468,410
1,Blyth,Northumberland and Tyne and Wear,England,UK,10m&Under,Lemon Sole,Demersal,0.0272,0.027,27
1,Blyth,Northumberland and Tyne and Wear,England,UK,10m&Under,Ling,Demersal,0.0175,0.0155,6.2
1,Blyth,Northumberland and Tyne and Wear,England,UK,10m&Under,Lobsters,Shellfish,0.6806,0.6806,14166.75
1,Blyth,Northumberland and Tyne and Wear,England,UK,10m&Under,Monks or Anglers,Demersal,0.041,0.0338,104.17
1,Blyth,Northumberland and Tyne and Wear,England,UK,10m&Under,Mullet,Demersal,0.0008,0.0008,1.55
1,Blyth,Northumberland and Tyne and Wear,England,UK,10m&Under,Nephrops,Shellfish,9.1398,6.7818,34558.5
1,Blyth,Northumberland and Tyne and Wear,England,UK,10m&Under,Other Demersal,Demersal,0.001,0.001,0.4
1,Blyth,Northumberland and Tyne and Wear,England,UK,10m&Under,Plaice,Demersal,0.0361,0.0345,23.92
1,Blyth,Northumberland and Tyne and Wear,England,UK,10m&Under,Pollack (Lythe),Demersal,0.0022,0.002,1.4
1,Blyth,Northumberland and Tyne and Wear,England,UK,10m&Under,Skates and Rays,Demersal,0.0015,0.0015,0.75
1,Blyth,Northumberland and Tyne and Wear,England,UK,10m&Under,Sole,Demersal,0.0118,0.0116,42.89
1,Blyth,Northumberland and Tyne and Wear,England,UK,10m&Under,Squid,Shellfish,0.0277,0.0277,101.17
1,Blyth,Northumberland and Tyne and Wear,England,UK,10m&Under,Turbot,Demersal,0.0512,0.0484,214.5
1,Blyth,Northumberland and Tyne and Wear,England,UK,10m&Under,Whiting,Demersal,3.118,3.118,1769.95
1,Blyth,Northumberland and Tyne and Wear,England,UK,10m&Under,Witch,Demersal,0.0005,0.0005,0.25
1,Blyth,Northumberland and Tyne and Wear,England,UK,Over10m,Brill,Demersal,0.0041,0.0039,11.41
1,Blyth,Northumberland and Tyne and Wear,England,UK,Over10m,Cod,Demersal,0.5608,0.48,541.69
1,Blyth,Northumberland and Tyne and Wear,England,UK,Over10m,Crabs,Shellfish,7.502,7.502,10753.47
1,Blyth,Northumberland and Tyne and Wear,England,UK,Over10m,Cuttlefish,Shellfish,0.029,0.029,0
1,Blyth,Northumberland and Tyne and Wear,England,UK,Over10m,Gurnard,Demersal,0.3221,0.3221,176.71
1,Blyth,Northumberland and Tyne and Wear,England,UK,Over10m,Haddock,Demersal,0.377,0.3125,199
1,Blyth,Northumberland and Tyne and Wear,England,UK,Over10m,Halibut,Demersal,0.2247,0.2089,1974.01
1,Blyth,Northumberland and Tyne and Wear,England,UK,Over10m,Lemon Sole,Demersal,0.106,0.101,108.39
1,Blyth,Northumberland and Tyne and Wear,England,UK,Over10m,Ling,Demersal,0.0034,0.003,1.2
1,Blyth,Northumberland and Tyne and Wear,England,UK,Over10m,Lobsters,Shellfish,0.8102,0.8102,17779.63
1,Blyth,Northumberland and Tyne and Wear,England,UK,Over10m,Monks or Anglers,Demersal,0.4792,0.4467,1056.29
1,Blyth,Northumberland and Tyne and Wear,England,UK,Over10m,Mullet,Demersal,0.0229,0.0229,45.49
1,Blyth,Northumberland and Tyne and Wear,England,UK,Over10m,Nephrops,Shellfish,27.0994,20.6347,94016.85
1,Blyth,Northumberland and Tyne and Wear,England,UK,Over10m,Other Demersal,Demersal,0.9012,0.8997,304.05
1,Blyth,Northumberland and Tyne and Wear,England,UK,Over10m,Other Shellfish,Shellfish,0.001,0.001,0
1,Blyth,Northumberland and Tyne and Wear,England,UK,Over10m,Plaice,Demersal,0.0094,0.009,0.74
